name,actualized,so2_1h,no2_1h,co_8h,pm10_1h,o3_1h,pm10_24h,pm2_5_1h
Brno-Tuřany,2024-03-31T08:47:07Z,6.1,4,,76.9,73.6,70.5,33.1
Brno-Úvoz (hot spot),2024-03-31T08:47:07Z,,25.6,280,,,0.0,0
Brno-Svatoplukova,2024-03-31T08:47:07Z,,10.1,350,80.9,,80.2,35.6
Brno-Líšeň,2024-03-31T08:47:07Z,,,,84.9,,83.4,30.9
Brno-Lány,2024-03-31T08:47:07Z,1.3,4.8,350,94.1,0,92.3,36.5
Brno-Komárov,2024-03-31T08:47:07Z,,6.5,,75.0,,77.9,32.9
Brno-Lány,2024-03-31T09:47:07Z,1.3,4.6,350,88.8,0,91.8,33.9
Brno-Arboretum,2024-03-31T09:47:07Z,,4.4,,82.1,84.8,90.8,26.1
Brno-Komárov,2024-03-31T09:47:07Z,,6.5,,58.2,,76.9,26.5
Brno - Dětská nemocnice,2024-03-31T09:47:07Z,,5.4,,74.9,76,78.5,28.5
Brno-Líšeň,2024-03-31T09:47:07Z,,,,72.2,,82.5,27.3
Brno-Úvoz (hot spot),2024-03-31T09:47:07Z,,28.7,294,,,0.0,0
Brno-Svatoplukova,2024-03-31T09:47:07Z,,9.9,350,67.5,,79.4,31
Brno-Tuřany,2024-03-31T09:47:07Z,6.4,3.8,,56.3,77.6,70.1,34.6
Brno-Komárov,2024-03-31T10:47:07Z,,7.1,,70.9,,76.3,29.2
Brno - Dětská nemocnice,2024-03-31T10:47:07Z,,5,,82.3,79.6,79.1,19.1
Brno-Úvoz (hot spot),2024-03-31T10:47:07Z,,27.4,308,,,0.0,0
Brno-Líšeň,2024-03-31T10:47:07Z,,,,75.1,,81.7,28.6
Brno-Tuřany,2024-03-31T10:47:07Z,6.4,3.6,,68.5,81.2,70.0,19.8
Brno-Arboretum,2024-03-31T10:47:07Z,,4,,84.8,89.2,90.3,25.4
Brno-Svatoplukova,2024-03-31T10:47:07Z,,9.4,350,75.8,,79.4,32.4
Brno-Lány,2024-03-31T10:47:07Z,1.3,4.6,350,101.9,0,91.8,35.8
Brno-Arboretum,2024-03-31T11:47:07Z,,3.8,,108.6,92.4,90.9,30.5
Brno-Svatoplukova,2024-03-31T11:47:07Z,,9.8,350,90.3,,79.7,37.2
Brno-Úvoz (hot spot),2024-03-31T11:47:07Z,,,315,,,0.0,0
Brno-Tuřany,2024-03-31T11:47:07Z,6.1,3.4,,81.2,82,70.6,24.1
Brno-Líšeň,2024-03-31T11:47:07Z,,,,78.7,,81.2,37
Brno - Dětská nemocnice,2024-03-31T11:47:07Z,,5.2,,84.9,81.6,79.9,31.6
Brno-Lány,2024-03-31T11:47:07Z,1.3,4.2,335,119.9,0,92.4,41.6
Brno-Komárov,2024-03-31T11:47:07Z,,7.1,,81.0,,75.7,33.6
Brno-Úvoz (hot spot),2024-03-31T12:47:07Z,,27.5,325,,,0.0,0
Brno-Svatoplukova,2024-03-31T12:47:07Z,,16.6,335,105.3,,80.2,42.2
Brno-Líšeň,2024-03-31T12:47:07Z,,,,107.6,,82.0,32.3
Brno-Lány,2024-03-31T12:47:07Z,1.3,5.4,320,131.4,0,92.9,44.5
Brno-Arboretum,2024-03-31T12:47:07Z,,4.4,,120.2,92.8,91.4,33.6
Brno-Tuřany,2024-03-31T12:47:07Z,6.4,3.3,,88.3,82.2,71.5,28.4
Brno - Dětská nemocnice,2024-03-31T12:47:07Z,,6.1,,73.3,81.6,79.2,29
Brno-Komárov,2024-03-31T12:47:07Z,,8.4,,92.7,,75.9,38.3
Brno-Lány,2024-03-31T13:47:07Z,1.3,5,306,125.8,0,92.9,42.9
Brno-Líšeň,2024-03-31T13:47:07Z,,,,89.3,,81.8,32.9
Brno-Svatoplukova,2024-03-31T13:47:07Z,,11.1,320,97.2,,80.3,39.2
Brno-Arboretum,2024-03-31T13:47:07Z,,4.8,,121.9,91.8,91.7,34.2
Brno - Dětská nemocnice,2024-03-31T13:47:07Z,,5.9,,94.8,81,79.9,32.8
Brno-Komárov,2024-03-31T13:47:07Z,,7.3,,83.7,,75.6,34.4
Brno-Úvoz (hot spot),2024-03-31T13:47:07Z,,28.9,334,,,0.0,0
Brno-Tuřany,2024-03-31T13:47:07Z,6.1,3.3,,78.1,81,71.8,31.9
Brno-Svatoplukova,2024-03-31T14:47:07Z,,11.1,306,102.6,,80.1,40.9
Brno - Dětská nemocnice,2024-03-31T14:47:07Z,,5.5,,101.2,80.2,79.7,32.3
Brno-Lány,2024-03-31T14:47:07Z,1.3,4.2,291,132.7,0,92.6,44
Brno-Arboretum,2024-03-31T14:47:07Z,,4,,118.6,90.6,91.4,33
Brno-Tuřany,2024-03-31T14:47:07Z,6.1,3.3,,98.2,81.4,72.5,17.2
Brno-Úvoz (hot spot),2024-03-31T14:47:07Z,,26,344,,,0.0,0
Brno-Komárov,2024-03-31T14:47:07Z,,8.6,,89.2,,74.9,35.7
Brno-Líšeň,2024-03-31T14:47:07Z,,,,90.6,,82.1,32.1
Brno-Tuřany,2024-03-31T15:47:07Z,6.7,3.1,,91.0,81.4,72.3,26.3
Brno-Lány,2024-03-31T15:47:07Z,1.3,5.2,277,144.3,0,92.4,45.2
Brno-Úvoz (hot spot),2024-03-31T15:47:07Z,,23,338,,,0.0,0
Brno-Arboretum,2024-03-31T15:47:07Z,,4.2,,127.9,90.2,91.0,34.6
Brno-Svatoplukova,2024-03-31T15:47:07Z,,10.9,277,107.3,,80.0,40.7
Brno-Komárov,2024-03-31T15:47:07Z,,9.9,,98.5,,74.8,37.6
Brno - Dětská nemocnice,2024-03-31T15:47:07Z,,6.3,,101.2,79,79.3,46.6
Brno-Líšeň,2024-03-31T15:47:07Z,,,,100.4,,81.7,32.2
Brno-Komárov,2024-03-31T16:47:08Z,,9.6,,94.5,,73.8,36.6
Brno-Lány,2024-03-31T16:47:08Z,1.3,5.7,262,139.1,0,90.7,43.7
Brno-Úvoz (hot spot),2024-03-31T16:47:08Z,,31.2,338,,,0.0,0
Brno-Tuřany,2024-03-31T16:47:08Z,6.4,3.3,,91.6,82.2,72.6,30.4
Brno - Dětská nemocnice,2024-03-31T16:47:08Z,,6.7,,116.0,79.2,79.5,45
Brno-Svatoplukova,2024-03-31T16:47:08Z,,14.2,262,113.8,,79.3,42
Brno-Líšeň,2024-03-31T16:47:08Z,,,,113.6,,81.8,40.6
Brno-Arboretum,2024-03-31T16:47:08Z,,4.8,,131.3,90.2,90.3,35.7
Brno-Úvoz (hot spot),2024-03-31T17:47:08Z,,28.9,331,,,0.0,0
Brno-Líšeň,2024-03-31T17:47:08Z,,,,109.4,,81.0,31.4
Brno-Komárov,2024-03-31T17:47:08Z,,13.2,,88.3,,73.5,34.1
Brno-Svatoplukova,2024-03-31T17:47:08Z,,19.9,248,106.4,,78.1,39.7
Brno-Arboretum,2024-03-31T17:47:08Z,,6.1,,116.8,88.2,88.0,32.2
Brno-Lány,2024-03-31T17:47:08Z,1.3,6.1,248,125.9,0,89.3,39.8
Brno-Tuřany,2024-03-31T17:47:08Z,6.4,3.3,,87.8,84.8,71.4,41.1
Brno - Dětská nemocnice,2024-03-31T17:47:08Z,,8.6,,107.2,77.4,78.8,25.5
Brno-Arboretum,2024-03-31T18:47:08Z,,6.3,,108.1,86.8,87.8,29
Brno-Lány,2024-03-31T18:47:08Z,1.3,6.1,233,108.8,0,89.3,35.6
Brno-Líšeň,2024-03-31T18:47:08Z,,,,102.3,,79.9,36.3
Brno - Dětská nemocnice,2024-03-31T18:47:08Z,,10.1,,109.1,74.4,78.0,30.4
Brno-Tuřany,2024-03-31T18:47:08Z,6.7,3.6,,82.8,83.8,70.3,28.2
Brno-Svatoplukova,2024-03-31T18:47:08Z,,16.6,233,94.3,,78.3,35.8
Brno-Úvoz (hot spot),2024-03-31T18:47:08Z,,25.1,323,,,0.0,0
Brno-Komárov,2024-03-31T18:47:08Z,,16.5,,79.3,,74.3,31.7
Brno-Svatoplukova,2024-03-31T19:47:08Z,,16.3,218,92.0,,79.8,36.6
Brno - Dětská nemocnice,2024-03-31T19:47:08Z,,10.1,,91.8,69.8,77.6,39.1
Brno-Arboretum,2024-03-31T19:47:08Z,,6.9,,101.5,82.4,89.1,28.7
Brno-Tuřany,2024-03-31T19:47:08Z,6.4,4.6,,81.2,75.8,69.6,19
Brno-Úvoz (hot spot),2024-03-31T19:47:08Z,,32.7,321,,,0.0,0
Brno-Lány,2024-03-31T19:47:08Z,1.3,9.8,248,92.2,0,90.0,32.5
Brno-Komárov,2024-03-31T19:47:08Z,,24.1,,88.6,,76.2,33.9
Brno-Líšeň,2024-03-31T19:47:08Z,,,,92.3,,79.1,32.2
Brno-Svatoplukova,2024-03-31T20:47:08Z,,52.8,233,87.9,,81.9,36.2
Brno-Lány,2024-03-31T20:47:08Z,1.3,11.5,248,64.2,0,90.5,25.6
Brno-Tuřany,2024-03-31T20:47:08Z,6.1,5.9,,86.9,70.4,70.4,10.6
Brno-Líšeň,2024-03-31T20:47:08Z,,,,100.3,,79.5,29.8
Brno-Arboretum,2024-03-31T20:47:08Z,,11.9,,97.1,70.8,91.2,29.1
Brno - Dětská nemocnice,2024-03-31T20:47:08Z,,19.3,,95.4,54.7,77.4,41
Brno-Komárov,2024-03-31T20:47:08Z,,24.9,,88.1,,78.5,32.7
Brno-Úvoz (hot spot),2024-03-31T20:47:08Z,,52.8,319,,,0.0,0
Brno-Arboretum,2024-03-31T21:47:09Z,,10.7,,62.7,72,92.2,21.4
Brno-Lány,2024-03-31T21:47:09Z,1.3,18.6,262,57.8,0,90.9,25.1
Brno-Komárov,2024-03-31T21:47:09Z,,13.8,,47.6,,78.9,22.3
Brno-Líšeň,2024-03-31T21:47:09Z,,,,73.0,,79.4,25.7
Brno-Úvoz (hot spot),2024-03-31T21:47:09Z,,35.2,324,,,0.0,0
Brno - Dětská nemocnice,2024-03-31T21:47:09Z,,14.7,,84.1,61.4,78.2,20.8
Brno-Tuřany,2024-03-31T21:47:09Z,5.9,4.4,,68.6,69,71.6,27.8
Brno-Svatoplukova,2024-03-31T21:47:09Z,,17.6,248,44.5,,82.3,21.7
Brno-Úvoz (hot spot),2024-03-31T22:47:09Z,,22.6,318,,,0.0,0
Brno-Komárov,2024-03-31T22:47:09Z,,7.1,,42.9,,79.2,21.4
Brno-Lány,2024-03-31T22:47:09Z,1.3,30.6,277,47.8,0,91.1,22.8
Brno - Dětská nemocnice,2024-03-31T22:47:09Z,,12.4,,69.1,62.6,79.3,28.9
Brno-Líšeň,2024-03-31T22:47:09Z,,,,60.3,,80.0,14.5
Brno-Arboretum,2024-03-31T22:47:09Z,,7.1,,50.3,75.4,92.8,18.1
Brno-Svatoplukova,2024-03-31T22:47:09Z,,20.1,262,42.9,,82.4,22.2
Brno-Tuřany,2024-03-31T22:47:09Z,6.1,3.8,,39.5,69.8,71.4,15
Brno - Dětská nemocnice,2024-03-31T23:47:09Z,,10.9,,66.4,60.4,80.3,18.3
Brno-Úvoz (hot spot),2024-03-31T23:47:09Z,,16.1,314,,,0.0,0
Brno-Líšeň,2024-03-31T23:47:09Z,,,,54.0,,80.3,12.9
Brno-Svatoplukova,2024-03-31T23:47:09Z,,16.1,277,43.4,,82.3,23.3
Brno-Tuřany,2024-03-31T23:47:09Z,6.1,4.2,,49.0,65,71.8,25
Brno-Komárov,2024-03-31T23:47:09Z,,13.4,,46.4,,78.9,23.1
Brno-Arboretum,2024-03-31T23:47:09Z,,6.3,,54.4,74.4,93.4,19.8
Brno-Lány,2024-03-31T23:47:09Z,1.3,29.3,291,42.6,0,91.1,21.9
Brno - Dětská nemocnice,2024-04-01T00:47:09Z,,10.9,,66.4,60.4,80.3,18.3
Brno-Lány,2024-04-01T00:47:09Z,1.3,29.3,291,42.6,0,91.1,21.9
Brno-Svatoplukova,2024-04-01T00:47:09Z,,16.1,277,43.4,,82.3,23.3
Brno-Komárov,2024-04-01T00:47:09Z,,13.4,,46.4,,78.9,23.1
Brno-Tuřany,2024-04-01T00:47:09Z,6.1,4.2,,49.0,65,71.8,25
Brno-Arboretum,2024-04-01T00:47:09Z,,6.3,,54.4,74.4,93.4,19.8
Brno-Úvoz (hot spot),2024-04-01T00:47:09Z,,16.1,314,,,0.0,0
Brno-Líšeň,2024-04-01T00:47:09Z,,,,54.0,,80.3,12.9
Brno-Tuřany,2024-04-01T01:47:09Z,6.1,4.8,,57.5,58.1,72.0,14.2
Brno-Arboretum,2024-04-01T01:47:09Z,,5,,52.6,74.6,93.2,19.5
Brno-Komárov,2024-04-01T01:47:09Z,,21.8,,46.5,,78.0,24.2
Brno-Úvoz (hot spot),2024-04-01T01:47:09Z,,22.6,309,,,0.0,0
Brno-Lány,2024-04-01T01:47:09Z,1.3,41.7,306,33.0,,91.2,22
Brno-Svatoplukova,2024-04-01T01:47:09Z,,21.6,277,46.1,,81.7,24.9
Brno - Dětská nemocnice,2024-04-01T01:47:09Z,,,,59.6,59.5,81.3,16
Brno-Líšeň,2024-04-01T01:47:09Z,,,,51.8,,80.8,11.2
Brno-Lány,2024-04-01T02:47:09Z,1.3,37.1,335,31.5,,91.3,21.1
Brno-Tuřany,2024-04-01T02:47:09Z,,,,,,73.6,0
Brno-Líšeň,2024-04-01T02:47:09Z,,,,53.0,,81.0,15.3
Brno-Svatoplukova,2024-04-01T02:47:09Z,,11.3,277,40.6,,78.2,23.1
Brno-Úvoz (hot spot),2024-04-01T02:47:09Z,,,298,,,0.0,0
Brno - Dětská nemocnice,2024-04-01T02:47:09Z,,8,,53.6,62.2,82.3,23
Brno-Komárov,2024-04-01T02:47:09Z,,,,,,77.5,0
Brno-Arboretum,2024-04-01T02:47:09Z,,5,,53.9,74.8,92.0,19.6
Brno-Lány,2024-04-01T04:47:09Z,1.3,29.5,335,31.5,,85.3,21.1
Brno-Komárov,2024-04-01T04:47:09Z,,22,,38.2,,71.4,25.5
Brno-Arboretum,2024-04-01T04:47:09Z,,6.3,,51.8,74.8,87.5,18.6
Brno - Dětská nemocnice,2024-04-01T04:47:09Z,,8,,56.5,65.2,81.1,9.8
Brno-Svatoplukova,2024-04-01T04:47:09Z,,16.3,291,46.9,,74.5,24.2
Brno-Líšeň,2024-04-01T04:47:09Z,,,,49.5,,78.4,19.4
Brno-Tuřany,2024-04-01T04:47:09Z,6.1,4,,49.0,63.4,70.0,20.3
Brno-Úvoz (hot spot),2024-04-01T04:47:09Z,,18.6,269,,,0.0,0
Brno-Líšeň,2024-04-01T05:47:09Z,,,,38.8,,76.5,12.2
Brno-Lány,2024-04-01T05:47:09Z,1.3,29.1,335,42.2,,83.0,28.2
Brno-Arboretum,2024-04-01T05:47:09Z,,6.5,,83.2,74.6,87.0,27.3
Brno - Dětská nemocnice,2024-04-01T05:47:10Z,,6.3,,45.1,65.6,79.1,6.4
Brno-Svatoplukova,2024-04-01T05:47:10Z,,13.4,291,74.0,,74.3,35.6
Brno-Úvoz (hot spot),2024-04-01T05:47:10Z,,18.7,256,,,0.0,0
Brno-Tuřany,2024-04-01T05:47:10Z,6.4,3.8,,61.2,68.4,69.1,12.5
Brno-Komárov,2024-04-01T05:47:10Z,,14.3,,81.4,,70.7,36.3
Brno-Svatoplukova,2024-04-01T06:47:10Z,,20.3,291,94.7,,75.4,42.1
Brno-Lány,2024-04-01T06:47:10Z,1.3,20.9,335,61.6,,82.0,41
Brno - Dětská nemocnice,2024-04-01T06:47:10Z,,10.3,,66.7,58.5,78.4,25.3
Brno-Arboretum,2024-04-01T06:47:10Z,,7.8,,105.5,68.8,88.1,33.4
Brno-Úvoz (hot spot),2024-04-01T06:47:10Z,,22,261,,,0.0,0
Brno-Líšeň,2024-04-01T06:47:10Z,,,,68.3,,76.2,16.3
Brno-Komárov,2024-04-01T06:47:10Z,,12.4,,91.1,,70.5,41.9
Brno-Tuřany,2024-04-01T06:47:10Z,6.7,3.6,,60.2,67,69.4,8.5
Brno - Dětská nemocnice,2024-04-01T07:47:10Z,,5.7,,88.2,65.8,79.1,16.1
Brno-Arboretum,2024-04-01T07:47:10Z,,5.5,,115.3,74.4,89.4,36.5
Brno-Úvoz (hot spot),2024-04-01T07:47:10Z,,18.7,264,,,0.0,0
Brno-Komárov,2024-04-01T07:47:10Z,,6.5,,117.0,,71.9,50.2
Brno-Tuřany,2024-04-01T07:47:10Z,6.7,3.4,,86.7,69.4,70.1,35.9
Brno-Svatoplukova,2024-04-01T07:47:10Z,,9.2,306,95.5,,76.2,45.2
Brno-Líšeň,2024-04-01T07:47:10Z,,,,88.2,,76.7,21.6
Brno-Lány,2024-04-01T07:47:10Z,1.3,14.5,335,74.2,,81.5,49.4
Brno-Líšeň,2024-04-01T08:47:10Z,,,,110.6,,77.7,30.1
Brno-Lány,2024-04-01T08:47:10Z,1.3,9.4,335,142.2,,83.5,53.1
Brno-Arboretum,2024-04-01T08:47:10Z,,5.2,,129.1,75,91.0,39.5
Brno-Úvoz (hot spot),2024-04-01T08:47:10Z,,18,264,,,0.0,0
Brno-Komárov,2024-04-01T08:47:10Z,,7.3,,124.9,,74.0,50.8
Brno-Tuřany,2024-04-01T08:47:10Z,6.7,3.4,,100.0,70.4,71.1,27.7
Brno - Dětská nemocnice,2024-04-01T08:47:10Z,,4.4,,90.3,67.6,79.3,13
Brno-Svatoplukova,2024-04-01T08:47:10Z,,7.7,320,111.5,,77.5,47.7
Brno-Svatoplukova,2024-04-01T09:47:10Z,,9.4,350,126.7,,80.0,49.6
Brno-Líšeň,2024-04-01T09:47:10Z,,,,124.6,,79.9,41.9
Brno-Úvoz (hot spot),2024-04-01T09:47:10Z,,19.9,272,,,0.0,0
Brno-Komárov,2024-04-01T09:47:10Z,,6.3,,116.8,,76.4,47.7
Brno-Tuřany,2024-04-01T09:47:10Z,6.7,3.1,,104.0,71.4,73.1,44.6
Brno - Dětská nemocnice,2024-04-01T09:47:10Z,,3.8,,107.6,70.2,80.7,10.7
Brno-Arboretum,2024-04-01T09:47:10Z,,3.6,,152.4,79.2,93.9,43.8
Brno-Lány,2024-04-01T09:47:10Z,1.3,6.7,320,162.6,,86.6,53.5
Brno-Arboretum,2024-04-01T10:47:10Z,,4,,143.5,79.4,96.4,43.3
Brno-Lány,2024-04-01T10:47:10Z,2.9,6.7,306,154.2,,88.8,53.9
Brno - Dětská nemocnice,2024-04-01T10:47:10Z,,3.8,,103.7,70.4,81.6,43.1
Brno-Svatoplukova,2024-04-01T10:47:10Z,,9,364,108.8,,81.3,46.6
Brno-Tuřany,2024-04-01T10:47:10Z,6.7,2.9,,109.9,71.8,74.8,39.7
Brno-Líšeň,2024-04-01T10:47:10Z,,,,136.6,,82.5,40.4
Brno-Úvoz (hot spot),2024-04-01T10:47:10Z,,,275,,,0.0,0
Brno-Komárov,2024-04-01T10:47:10Z,,5.9,,105.8,,77.9,46.3
Brno - Dětská nemocnice,2024-04-01T11:47:10Z,,3.6,,126.7,72.6,83.3,31
Brno-Arboretum,2024-04-01T11:47:10Z,,3.3,,138.0,82,97.6,41.6
Brno-Úvoz (hot spot),2024-04-01T11:47:10Z,,20.7,284,,,0.0,0
Brno-Svatoplukova,2024-04-01T11:47:10Z,,10.7,350,112.8,,82.3,47.7
Brno-Tuřany,2024-04-01T11:47:10Z,6.9,2.9,,105.8,74.6,75.8,43.1
Brno-Komárov,2024-04-01T11:47:10Z,,3.8,,94.9,,78.5,39.7
Brno-Lány,2024-04-01T11:47:10Z,1.3,4.6,320,140.7,,89.6,49.6
Brno-Líšeň,2024-04-01T11:47:10Z,,,,127.3,,84.5,39.6
Brno-Tuřany,2024-04-01T12:47:10Z,6.9,3.1,,111.9,78.6,76.8,45.5
Brno-Arboretum,2024-04-01T12:47:10Z,,2.9,,145.8,86.6,98.7,42.6
Brno-Lány,2024-04-01T12:47:10Z,1.3,2.5,306,151.1,,90.5,51.9
Brno-Úvoz (hot spot),2024-04-01T12:47:10Z,,19.1,288,,,0.0,0
Brno - Dětská nemocnice,2024-04-01T12:47:10Z,,3.6,,140.8,75.8,86.2,30.6
Brno-Svatoplukova,2024-04-01T12:47:10Z,,9.2,350,125.4,,83.1,49.3
Brno-Líšeň,2024-04-01T12:47:10Z,,,,121.8,,85.1,48.1
Brno-Komárov,2024-04-01T12:47:10Z,,4,,112.5,,79.3,41.3
Brno-Úvoz (hot spot),2024-04-01T13:47:10Z,,19.1,288,,,0.0,0
Brno-Líšeň,2024-04-01T13:47:10Z,,,,133.2,,86.9,54
Brno-Svatoplukova,2024-04-01T13:47:10Z,,11.3,350,131.1,,84.5,51.6
Brno-Arboretum,2024-04-01T13:47:10Z,,3.3,,170.1,89.2,100.7,47.1
Brno - Dětská nemocnice,2024-04-01T13:47:10Z,,4,,120.6,78.2,87.2,36.7
Brno-Lány,2024-04-01T13:47:10Z,1.3,2.7,291,161.4,,91.9,56.1
Brno-Tuřany,2024-04-01T13:47:10Z,6.9,2.7,,89.8,81,77.3,44.4
Brno-Komárov,2024-04-01T13:47:10Z,,4.6,,122.0,,80.9,44.1
Brno-Arboretum,2024-04-01T14:47:10Z,,2.9,,179.2,91.4,103.2,51.8
Brno-Svatoplukova,2024-04-01T14:47:10Z,,9.2,335,137.4,,86.0,56.5
Brno-Úvoz (hot spot),2024-04-01T14:47:10Z,,18.9,282,,,0.0,0
Brno-Líšeň,2024-04-01T14:47:10Z,,,,126.4,,88.4,46.8
Brno-Komárov,2024-04-01T14:47:10Z,,5.2,,116.6,,82.0,49.7
Brno-Tuřany,2024-04-01T14:47:10Z,6.4,2.9,,98.3,81.2,77.3,41.7
Brno - Dětská nemocnice,2024-04-01T14:47:10Z,,3.4,,119.5,79.6,88.0,44.7
Brno-Lány,2024-04-01T14:47:10Z,3.2,3.8,277,182.4,,94.0,63.3
Brno - Dětská nemocnice,2024-04-01T15:47:10Z,,3.6,,129.7,78.2,89.2,49.7
Brno-Úvoz (hot spot),2024-04-01T15:47:10Z,,18,280,,,0.0,0
Brno-Lány,2024-04-01T15:47:10Z,3.2,5,262,196.3,,96.2,67.3
Brno-Svatoplukova,2024-04-01T15:47:10Z,,11.9,335,154.3,,87.9,62.1
Brno-Komárov,2024-04-01T15:47:10Z,,5.7,,120.2,,82.9,51.7
Brno-Arboretum,2024-04-01T15:47:10Z,,3.1,,188.3,90.2,105.7,56
Brno-Líšeň,2024-04-01T15:47:10Z,,,,147.3,,90.4,45.2
Brno-Tuřany,2024-04-01T15:47:10Z,6.7,2.5,,131.7,80.6,79.0,36.9
Brno - Dětská nemocnice,2024-04-01T16:47:10Z,,5.7,,146.1,73.4,90.4,52.6
Brno-Úvoz (hot spot),2024-04-01T16:47:10Z,,19.3,276,,,0.0,0
Brno-Svatoplukova,2024-04-01T16:47:10Z,,10.3,320,142.3,,89.1,59
Brno-Komárov,2024-04-01T16:47:10Z,,9.4,,99.1,,83.1,41.2
Brno-Líšeň,2024-04-01T16:47:10Z,,,,162.2,,92.4,50.4
Brno-Arboretum,2024-04-01T16:47:10Z,,4.2,,188.2,84.8,108.1,56.4
Brno-Tuřany,2024-04-01T16:47:10Z,6.7,3.6,,134.3,76.4,80.8,44.4
Brno-Lány,2024-04-01T16:47:10Z,2.7,6.3,248,131.2,,95.8,43.5
Brno-Úvoz (hot spot),2024-04-01T17:47:10Z,,17.4,269,,,0.0,0
Brno-Líšeň,2024-04-01T17:47:10Z,,,,150.0,,94.1,50
Brno - Dětská nemocnice,2024-04-01T17:47:10Z,,7.3,,137.4,68.4,91.7,54.9
Brno-Lány,2024-04-01T17:47:11Z,1.3,10.1,248,14.6,,91.2,3.1
Brno-Arboretum,2024-04-01T17:47:11Z,,5.9,,22.1,79.4,104.1,5.3
Brno-Tuřany,2024-04-01T17:47:11Z,6.7,5,,123.7,72.4,82.2,55.1
Brno-Svatoplukova,2024-04-01T17:47:11Z,,11.1,306,27.2,,85.8,6.8
Brno-Komárov,2024-04-01T17:47:11Z,,7.3,,12.8,,80.0,2.9
Brno-Tuřany,2024-04-01T18:47:11Z,6.4,7.5,,74.7,72.6,81.9,30.4
Brno-Komárov,2024-04-01T18:47:11Z,,7.8,,8.5,,77.0,2.4
Brno-Lány,2024-04-01T18:47:11Z,1.3,9.2,248,9.4,,87.1,2.7
Brno-Arboretum,2024-04-01T18:47:11Z,,5.4,,8.6,79.4,100.0,2
Brno-Líšeň,2024-04-01T18:47:11Z,,,,88.1,,93.5,29.6
Brno - Dětská nemocnice,2024-04-01T18:47:11Z,,6.1,,87.9,71.6,90.8,29.2
Brno-Svatoplukova,2024-04-01T18:47:11Z,,11.3,306,14.6,,82.5,5.1
Brno-Úvoz (hot spot),2024-04-01T18:47:11Z,,14.5,265,,,0.0,0
Brno-Líšeň,2024-04-01T19:47:11Z,,,,55.3,,92.0,15.8
Brno-Tuřany,2024-04-01T19:47:11Z,6.4,6.1,,42.8,71.4,80.3,16.3
Brno-Komárov,2024-04-01T19:47:11Z,,6.5,,5.1,,73.6,2.2
Brno-Svatoplukova,2024-04-01T19:47:11Z,,11.3,306,9.7,,79.1,4.6
Brno-Lány,2024-04-01T19:47:11Z,1.3,4.8,248,5.7,,83.5,2.5
Brno - Dětská nemocnice,2024-04-01T19:47:11Z,,5.5,,54.7,72.6,89.3,20.2
Brno-Arboretum,2024-04-01T19:47:11Z,,5.7,,6.5,81.8,96.0,2
Brno-Úvoz (hot spot),2024-04-01T19:47:11Z,,14.3,257,,,0.0,0
Brno-Líšeň,2024-04-01T20:47:11Z,,,,30.1,,89.0,8.2
Brno-Svatoplukova,2024-04-01T20:47:11Z,,8.2,291,6.7,,75.7,3.1
Brno-Arboretum,2024-04-01T20:47:11Z,,3.8,,4.4,92.2,92.2,1.5
Brno - Dětská nemocnice,2024-04-01T20:47:11Z,,5.5,,29.1,81.6,86.5,13.6
Brno-Úvoz (hot spot),2024-04-01T20:47:11Z,,10.5,248,,,0.0,0
Brno-Lány,2024-04-01T20:47:11Z,1.3,8.4,262,3.6,,80.9,2
Brno-Tuřany,2024-04-01T20:47:11Z,6.4,4.8,,25.1,81.8,77.7,9.9
Brno-Komárov,2024-04-01T20:47:11Z,,5.9,,3.3,,70.0,1.8
Brno-Arboretum,2024-04-01T21:47:11Z,,4.8,,3.2,84.6,89.7,1.4
Brno-Tuřany,2024-04-01T21:47:11Z,6.1,4.8,,23.5,80.2,75.9,6.8
Brno-Svatoplukova,2024-04-01T21:47:11Z,,7.5,277,2.7,,74.0,2.1
Brno - Dětská nemocnice,2024-04-01T21:47:11Z,,5,,24.6,75.2,84.0,15.4
Brno-Lány,2024-04-01T21:47:11Z,1.3,6.9,262,4.4,,78.7,3.2
Brno-Úvoz (hot spot),2024-04-01T21:47:11Z,,11.9,238,,,0.0,0
Brno-Komárov,2024-04-01T21:47:11Z,,6.5,,2.8,,68.2,2.1
Brno-Líšeň,2024-04-01T21:47:11Z,,,,15.5,,86.6,10
Brno-Arboretum,2024-04-01T22:47:11Z,,6.3,,3.8,72.2,87.8,1.8
Brno - Dětská nemocnice,2024-04-01T22:47:11Z,,6.3,,14.1,67.6,81.7,9.8
Brno-Svatoplukova,2024-04-01T22:47:11Z,,10.3,291,3.2,,72.3,2.4
Brno-Úvoz (hot spot),2024-04-01T22:47:11Z,,16.1,231,,,0.0,0
Brno-Líšeň,2024-04-01T22:47:11Z,,,,8.6,,84.5,6.9
Brno-Lány,2024-04-01T22:47:11Z,1.3,7.8,262,4.1,,76.9,2.9
Brno-Tuřany,2024-04-01T22:47:11Z,5.9,6.3,,13.0,72,74.8,10.2
Brno-Komárov,2024-04-01T22:47:11Z,,7.7,,3.6,,66.5,2.7
Brno - Dětská nemocnice,2024-04-02T00:47:27Z,,4.8,,6.7,,77.1,5.5
Brno-Líšeň,2024-04-02T00:47:27Z,,,,5.6,,80.6,5.7
